Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	241.739	0	0
FBgn0267873	257	75.87	0	0
FBgn0267896	719	537.584	0.000253	0.001
FBgn0260225	1197	1015.27	0.02986	0.268
FBgn0040928	1085	903.274	3.63531	29
FBgn0262789	532	350.652	0.645828	2
FBgn0058461	391	209.782	0.643156	1.192
FBgn0042701	620	438.628	0.301764	1.169
FBgn0263493	352	170.803	0.000212	0
FBgn0265917	359	177.801	0	0
FBgn0262163	610	428.634	0.264165	1
FBgn0085831	237	55.959	0	0
FBgn0267108	321	139.817	0.000537	0.001
FBgn0051032	770	588.56	13.467	70
FBgn0266102	391	209.782	2.28402	4.232
FBgn0053867	526	344.656	0.016127	0.049
FBgn0267026	323	141.816	0.000128	0
FBgn0267519	2689	2507.27	1853.02	41031.6
FBgn0058005	1227	1045.27	0.100342	0.926
FBgn0039979	803	621.544	7.77609	42.685
FBgn0053318	523	341.658	0.331414	1
FBgn0053805	440	258.72	0.003954	0.009
FBgn0267419	780	598.555	0	0
FBgn0267892	760	578.563	0.00026	0.001
FBgn0267902	582	400.641	0	0
FBgn0262964	777	595.556	0.190125	1
FBgn0085790	1041	859.274	0.486075	3.689
FBgn0267879	601	419.639	0	0
FBgn0085291	1130	948.274	0.081191	0.68
FBgn0263093	1194.62	1012.89	29.7683	266.289
FBgn0267952	1290	1108.27	0	0
FBgn0030117	636	454.607	0.067864	0.272
FBgn0058182	291	109.835	0	0
FBgn0052518	75	26.091	0	0
FBgn0027934	1345	1163.27	0	0
FBgn0085340	423	241.739	0	0
FBgn0263744	845	663.526	0	0
FBgn0263210	221	41.361	0	0
FBtr0346869	123	50.132	2.66511	1.18
FBgn0267427	697	515.589	0	0
FBgn0263975	1131	949.274	2.5049	21
FBgn0267869	420	238.743	0.000321	0.001
FBgn0037560	964.08	782.517	46.1594	319
FBgn0263212	220	40.548	0	0
FBgn0085732	1474.53	1292.8	80.6196	920.47
FBgn0267593	610	428.634	0	0
FBgn0058100	394	212.779	5.1716	9.718
FBgn0264888	465	283.702	0	0
FBgn0037143	1446	1264.27	0.089562	1
FBgn0262510	501	319.674	1.71734	4.848
FBgn0263771	276	94.851	0	0
FBgn0053315	421	239.742	0	0
FBgn0050029	480	298.702	0	0
FBgn0085791	1041	859.274	0.036013	0.273
FBgn0085804	252	70.875	0	0
FBgn0267876	766	584.561	0.00026	0.001
FBgn0267494	656	474.594	0	0
FBgn0085792	1211	1029.27	1.42811	12.982
FBgn0053013	2636	2454.27	0	0
FBgn0266211	1668	1486.27	1.75223	23
FBgn0265141	1303	1121.27	0	0
FBgn0051292	440.63	259.352	0.018725	0.043
